model,metric,SRCC,PLCC
dinov2_base,cosine,0.03623884524784297,0.05931190773844719
dinov2_base,l2,0.036235555477999636,0.05731822922825813
dinov2_large,cosine,0.08638375232563751,0.07116951793432236
dinov2_large,l2,0.08640425211094797,0.0642000064253807
dinov2_small,cosine,0.01753581861064512,0.04148164764046669
dinov2_small,l2,0.01754596028900855,0.044273484498262405
dinov3_base,cosine,0.03772086945368045,0.05171038582921028
dinov3_base,l2,0.037698037045664205,0.050883542746305466
dinov3_large,cosine,0.030020870586615452,0.04813466966152191
dinov3_large,l2,0.030053933400300686,0.050409384071826935
dinov3_small,cosine,0.016883525544916993,0.03677880018949509
dinov3_small,l2,0.016894176603899025,0.042683206498622894
siglip2_base,cosine,0.041479020702706,0.05183497071266174
siglip2_base,l2,0.041501247734821375,0.05498243868350983
siglip2_large,cosine,0.025251816049711998,0.04368000850081444
siglip2_large,l2,0.02529407440632268,0.05125308781862259
