model,metric,SRCC,PLCC
dinov2_base,cosine,0.7089428087126776,0.6555868983268738
dinov2_base,l2,0.7089415360162056,0.7508082985877991
dinov2_large,cosine,0.6784350669258644,0.6195526719093323
dinov2_large,l2,0.6784350424774663,0.7232707142829895
dinov2_small,cosine,0.7592669708395603,0.6916515231132507
dinov2_small,l2,0.7592683754771502,0.7923605442047119
dinov3_base,cosine,0.7304796712596393,0.6793949007987976
dinov3_base,l2,0.730479360126861,0.7781696319580078
dinov3_large,cosine,0.7077780592277506,0.6388047933578491
dinov3_large,l2,0.7077764198649213,0.7543907761573792
dinov3_small,cosine,0.7723635526782332,0.70191490650177
dinov3_small,l2,0.772363420163156,0.8073696494102478
siglip2_base,cosine,0.8015265051928057,0.6672180891036987
siglip2_base,l2,0.801528509103758,0.8033884167671204
siglip2_large,cosine,0.7854028050557736,0.6660624742507935
siglip2_large,l2,0.7854029627784397,0.7955352067947388
