model,layer,srcc,plcc
facebook/dinov2-base,0,,
facebook/dinov2-base,1,0.016918356830849926,0.003397091757506132
facebook/dinov2-base,2,0.008333402502611626,0.012364554218947887
facebook/dinov2-base,3,0.007600577665686515,0.012067769654095173
facebook/dinov2-base,4,0.005095505906292607,0.011327889747917652
facebook/dinov2-base,5,-0.017493966720549075,-0.008342333137989044
facebook/dinov2-base,6,-0.00945990520113369,-0.0018406454473733902
facebook/dinov2-base,7,-0.015675045929438844,-0.015772296115756035
facebook/dinov2-base,8,-0.006028345266620017,-0.006501356605440378
facebook/dinov2-base,9,0.017009135506725052,0.020140551030635834
facebook/dinov2-base,10,0.024500993493754744,0.031684692949056625
facebook/dinov2-base,11,0.029560286723500653,0.04184379428625107
facebook/dinov2-base,12,0.03623884524784297,0.05931190773844719
facebook/dinov2-large,0,,
facebook/dinov2-large,1,0.0484390592290141,0.054708946496248245
facebook/dinov2-large,2,0.02651978216021315,0.05478508025407791
facebook/dinov2-large,3,0.022777337416417583,0.04218240827322006
facebook/dinov2-large,4,0.022278600397773993,0.03796893730759621
facebook/dinov2-large,5,0.015863483530124758,0.026806622743606567
facebook/dinov2-large,6,0.01890652176514009,0.03432794287800789
facebook/dinov2-large,7,0.0016780622578517449,0.0009415477397851646
facebook/dinov2-large,8,0.00540850393630278,0.005446190945804119
facebook/dinov2-large,9,0.0024068909080832363,0.005162359680980444
facebook/dinov2-large,10,-0.009395619932530337,-0.004765416961163282
facebook/dinov2-large,11,-0.02617209061288595,-0.011400565505027771
facebook/dinov2-large,12,-0.027611193100764223,-0.013912992551922798
facebook/dinov2-large,13,-0.02266051681759615,-0.017360007390379906
facebook/dinov2-large,14,-0.009281999837711377,-0.002572055673226714
facebook/dinov2-large,15,-0.012424796607293264,-0.008266542106866837
facebook/dinov2-large,16,-0.012603738362411769,-0.005763893481343985
facebook/dinov2-large,17,0.0031480150322523636,0.007424245122820139
facebook/dinov2-large,18,0.013721629777159879,0.015095596201717854
facebook/dinov2-large,19,0.016977595160041478,0.01868928037583828
facebook/dinov2-large,20,0.03083192497010681,0.03428885340690613
facebook/dinov2-large,21,0.02698182926762088,0.04153243824839592
facebook/dinov2-large,22,0.03926333599235918,0.0555289164185524
facebook/dinov2-large,23,0.053985513380575945,0.0647842213511467
facebook/dinov2-large,24,0.08638375232563751,0.07116951793432236
facebook/dinov2-small,0,,
facebook/dinov2-small,1,0.05015913696950677,0.04690667986869812
facebook/dinov2-small,2,0.0319182319833478,0.02306935377418995
facebook/dinov2-small,3,0.020219387173078873,0.019610336050391197
facebook/dinov2-small,4,0.011988415587351578,0.011884172447025776
facebook/dinov2-small,5,-0.014550758883805559,-0.015511994250118732
facebook/dinov2-small,6,-0.013522805828163984,-0.014779026620090008
facebook/dinov2-small,7,-0.016354004770218845,-0.015650257468223572
facebook/dinov2-small,8,0.001419414664548881,0.00505054323002696
facebook/dinov2-small,9,0.003627424179983774,0.00919598899781704
facebook/dinov2-small,10,0.015771457497961765,0.024478208273649216
facebook/dinov2-small,11,0.026631760741796327,0.029892535880208015
facebook/dinov2-small,12,0.01753581861064512,0.04148164764046669
facebook/dinov3-vitb16-pretrain-lvd1689m,0,,
facebook/dinov3-vitb16-pretrain-lvd1689m,1,0.039445364574111054,0.039339251816272736
facebook/dinov3-vitb16-pretrain-lvd1689m,2,0.023885899208195338,0.01795596443116665
facebook/dinov3-vitb16-pretrain-lvd1689m,3,0.010251192467943877,0.018087113276124
facebook/dinov3-vitb16-pretrain-lvd1689m,4,-0.010545333347529164,-0.0033932907972484827
facebook/dinov3-vitb16-pretrain-lvd1689m,5,-0.06915897244034414,-0.06318749487400055
facebook/dinov3-vitb16-pretrain-lvd1689m,6,-0.04195872797312497,-0.029933637008070946
facebook/dinov3-vitb16-pretrain-lvd1689m,7,-0.02190174464903963,-0.016774402931332588
facebook/dinov3-vitb16-pretrain-lvd1689m,8,0.0030877589108658995,0.01139812357723713
facebook/dinov3-vitb16-pretrain-lvd1689m,9,-0.009311739878534696,-0.001305682584643364
facebook/dinov3-vitb16-pretrain-lvd1689m,10,0.0030501590792497506,0.011789458803832531
facebook/dinov3-vitb16-pretrain-lvd1689m,11,0.040310335796118105,0.04891249164938927
facebook/dinov3-vitb16-pretrain-lvd1689m,12,0.03772086945368045,0.05171038582921028
facebook/dinov3-vitl16-pretrain-lvd1689m,0,,
facebook/dinov3-vitl16-pretrain-lvd1689m,1,0.014025903717796369,0.012896336615085602
facebook/dinov3-vitl16-pretrain-lvd1689m,2,0.028514775019102483,0.03564561903476715
facebook/dinov3-vitl16-pretrain-lvd1689m,3,0.005558406072665462,0.01870337873697281
facebook/dinov3-vitl16-pretrain-lvd1689m,4,0.0072371873971072325,0.016447998583316803
facebook/dinov3-vitl16-pretrain-lvd1689m,5,0.005580566334669051,0.00888256449252367
facebook/dinov3-vitl16-pretrain-lvd1689m,6,-0.0006184096552860768,0.01548701897263527
facebook/dinov3-vitl16-pretrain-lvd1689m,7,-0.004978913903000695,0.003323143348097801
facebook/dinov3-vitl16-pretrain-lvd1689m,8,-0.0535082870570737,-0.04123926907777786
facebook/dinov3-vitl16-pretrain-lvd1689m,9,-0.05588883588194107,-0.04551075026392937
facebook/dinov3-vitl16-pretrain-lvd1689m,10,-0.06661642752450818,-0.06675728410482407
facebook/dinov3-vitl16-pretrain-lvd1689m,11,-0.06538853948569513,-0.06532938033342361
facebook/dinov3-vitl16-pretrain-lvd1689m,12,-0.0535431807086137,-0.04750560596585274
facebook/dinov3-vitl16-pretrain-lvd1689m,13,-0.04266495819868352,-0.035674579441547394
facebook/dinov3-vitl16-pretrain-lvd1689m,14,-0.04150850100818407,-0.02852492220699787
facebook/dinov3-vitl16-pretrain-lvd1689m,15,-0.007412750543359268,-0.004012822639197111
facebook/dinov3-vitl16-pretrain-lvd1689m,16,0.0028701541659040034,0.008372914977371693
facebook/dinov3-vitl16-pretrain-lvd1689m,17,0.010547266962896984,0.011098122224211693
facebook/dinov3-vitl16-pretrain-lvd1689m,18,0.03351851600111154,0.024793753400444984
facebook/dinov3-vitl16-pretrain-lvd1689m,19,0.03809559496098256,0.035538140684366226
facebook/dinov3-vitl16-pretrain-lvd1689m,20,0.030185023198936012,0.030939260497689247
