model,layer,srcc,plcc
facebook/dinov2-base,0,,
facebook/dinov2-base,1,0.5775177746128487,0.4859488010406494
facebook/dinov2-base,2,0.5138456318338132,0.4919549524784088
facebook/dinov2-base,3,0.49517153169223366,0.46858108043670654
facebook/dinov2-base,4,0.5077416595865551,0.4999856948852539
facebook/dinov2-base,5,0.41152391301892144,0.36661288142204285
facebook/dinov2-base,6,0.35333982192979924,0.3228718638420105
facebook/dinov2-base,7,0.36747611345743586,0.34297382831573486
facebook/dinov2-base,8,0.3831684666954793,0.3469718098640442
facebook/dinov2-base,9,0.44325387983323633,0.46357303857803345
facebook/dinov2-base,10,0.44373777086197863,0.4581490755081177
facebook/dinov2-base,11,0.4642382274540936,0.46824437379837036
facebook/dinov2-base,12,0.4814269365026897,0.5166181325912476
facebook/dinov2-large,0,,
facebook/dinov2-large,1,0.5542162685255575,0.43505582213401794
facebook/dinov2-large,2,0.5465634880832555,0.45765551924705505
facebook/dinov2-large,3,0.5377357933561552,0.4576750099658966
facebook/dinov2-large,4,0.5399892343695977,0.4767928123474121
facebook/dinov2-large,5,0.46940170570332695,0.4555482268333435
facebook/dinov2-large,6,0.45586192148032384,0.42437463998794556
facebook/dinov2-large,7,0.42365848694438857,0.4091457724571228
facebook/dinov2-large,8,0.4243486335957923,0.41411101818084717
facebook/dinov2-large,9,0.43951670424218275,0.43333977460861206
facebook/dinov2-large,10,0.45453293419979834,0.41459524631500244
facebook/dinov2-large,11,0.40481949005356993,0.34718120098114014
facebook/dinov2-large,12,0.3602104605413524,0.3241787552833557
facebook/dinov2-large,13,0.34460094574815336,0.30222466588020325
facebook/dinov2-large,14,0.3593910375115932,0.3270564079284668
facebook/dinov2-large,15,0.36881893994444015,0.3415994942188263
facebook/dinov2-large,16,0.3860156026049211,0.3320406675338745
facebook/dinov2-large,17,0.4119041961384265,0.3955971896648407
facebook/dinov2-large,18,0.4301477809091852,0.4382823407649994
facebook/dinov2-large,19,0.4470545028689852,0.47385966777801514
facebook/dinov2-large,20,0.4507893642255129,0.4732308089733124
facebook/dinov2-large,21,0.44697803883932036,0.44581034779548645
facebook/dinov2-large,22,0.4489306288110845,0.43875837326049805
facebook/dinov2-large,23,0.4423008583392595,0.45729249715805054
facebook/dinov2-large,24,0.43440126014630703,0.4636370539665222
dinov2_small,0,,
dinov2_small,1,0.5475694659239545,0.47937044501304626
dinov2_small,2,0.5787194184011534,0.5075310468673706
dinov2_small,3,0.4973004214900681,0.47428756952285767
dinov2_small,4,0.48382931320149325,0.48452043533325195
dinov2_small,5,0.38495180442208515,0.3608602285385132
dinov2_small,6,0.37436122687704526,0.33294641971588135
dinov2_small,7,0.3046731054976779,0.2786952257156372
dinov2_small,8,0.39388807128927666,0.34657958149909973
dinov2_small,9,0.3886112005288617,0.34603530168533325
dinov2_small,10,0.4116349364361731,0.3720133900642395
dinov2_small,11,0.4621980660151395,0.4370482861995697
dinov2_small,12,0.503522520715358,0.5406302809715271
facebook/dinov3-vitb16-pretrain-lvd1689m,0,,
facebook/dinov3-vitb16-pretrain-lvd1689m,1,0.5387157328427651,0.4055732488632202
facebook/dinov3-vitb16-pretrain-lvd1689m,2,0.5149678548428439,0.4743691384792328
facebook/dinov3-vitb16-pretrain-lvd1689m,3,0.5072703470659007,0.4850691556930542
facebook/dinov3-vitb16-pretrain-lvd1689m,4,0.47470668310231723,0.4174395203590393
facebook/dinov3-vitb16-pretrain-lvd1689m,5,0.2756625736418416,0.2585013508796692
facebook/dinov3-vitb16-pretrain-lvd1689m,6,0.2674710917868507,0.26233160495758057
facebook/dinov3-vitb16-pretrain-lvd1689m,7,0.3259251394139466,0.34188544750213623
facebook/dinov3-vitb16-pretrain-lvd1689m,8,0.3513280498016685,0.3812255263328552
facebook/dinov3-vitb16-pretrain-lvd1689m,9,0.39122668507421826,0.42624425888061523
facebook/dinov3-vitb16-pretrain-lvd1689m,10,0.416801767572996,0.45951318740844727
facebook/dinov3-vitb16-pretrain-lvd1689m,11,0.43613418903525053,0.47664710879325867
facebook/dinov3-vitb16-pretrain-lvd1689m,12,0.47308598961404813,0.5142934322357178
facebook/dinov3-vitl16-pretrain-lvd1689m,0,,
