model,layer,srcc,plcc
facebook/dinov2-base,0,,
facebook/dinov2-base,1,0.649569233557019,0.5477551221847534
facebook/dinov2-base,2,0.7013051769842363,0.6756058931350708
facebook/dinov2-base,3,0.6975515414435338,0.6101324558258057
facebook/dinov2-base,4,0.6845505180379494,0.6640677452087402
facebook/dinov2-base,5,0.5999891153642614,0.6503987312316895
facebook/dinov2-base,6,0.590866407819706,0.6291584968566895
facebook/dinov2-base,7,0.6076748568379715,0.6671435832977295
facebook/dinov2-base,8,0.6159964565674495,0.658156156539917
facebook/dinov2-base,9,0.6480678923137044,0.6921236515045166
facebook/dinov2-base,10,0.6721266665229687,0.6369807720184326
facebook/dinov2-base,11,0.6912451399785735,0.6117122173309326
facebook/dinov2-base,12,0.7089414495998336,0.655586838722229
facebook/dinov2-base,mean,0.6819786969579267,0.6877484917640686
facebook/dinov2-large,0,0.007519503473545455,0.0011625578626990318
facebook/dinov2-large,1,0.5872437319760158,0.474200963973999
facebook/dinov2-large,2,0.6193412372308967,0.5350688099861145
facebook/dinov2-large,3,0.657219165242147,0.5418440699577332
facebook/dinov2-large,4,0.6841456744196424,0.5793963670730591
facebook/dinov2-large,5,0.6905216344580968,0.6665855050086975
facebook/dinov2-large,6,0.6733999313403212,0.6681652069091797
facebook/dinov2-large,7,0.6604658151532751,0.6487274169921875
facebook/dinov2-large,8,0.6613988201893793,0.6435884237289429
facebook/dinov2-large,9,0.6517230936454593,0.6486561894416809
facebook/dinov2-large,10,0.6265538761230929,0.6629163026809692
facebook/dinov2-large,11,0.5785808998251739,0.6566697955131531
facebook/dinov2-large,12,0.5712278268555924,0.6500694155693054
facebook/dinov2-large,13,0.5407781338949674,0.6037230491638184
facebook/dinov2-large,14,0.5465324325669536,0.6160247325897217
facebook/dinov2-large,15,0.5462906447338978,0.6164169907569885
facebook/dinov2-large,16,0.5674646967370104,0.6286640167236328
facebook/dinov2-large,17,0.5936843610555635,0.6566064357757568
facebook/dinov2-large,18,0.6193154964426989,0.667289674282074
facebook/dinov2-large,19,0.6488200930569058,0.6770006418228149
facebook/dinov2-large,20,0.6557421777383862,0.6436532139778137
facebook/dinov2-large,21,0.665538954154958,0.5942742228507996
facebook/dinov2-large,22,0.6839806697304536,0.6197727918624878
facebook/dinov2-large,23,0.6823451946075643,0.5977363586425781
facebook/dinov2-large,24,0.6784352341522224,0.619552731513977
facebook/dinov2-large,mean,0.6450611953708096,0.6738482117652893
facebook/dinov2-small,0,,
facebook/dinov2-small,1,0.6601270780413621,0.5665954351425171
facebook/dinov2-small,2,0.6760877358707756,0.5690137147903442
facebook/dinov2-small,3,0.6814466883777941,0.6090140342712402
facebook/dinov2-small,4,0.7079780956856894,0.6441055536270142
facebook/dinov2-small,5,0.6140163890914329,0.649040162563324
facebook/dinov2-small,6,0.62015496382547,0.6149308681488037
facebook/dinov2-small,7,0.6069214076697271,0.6459031701087952
facebook/dinov2-small,8,0.6464528305083693,0.659578263759613
facebook/dinov2-small,9,0.6430898503926582,0.6359884142875671
facebook/dinov2-small,10,0.6609963566613005,0.6231045126914978
facebook/dinov2-small,11,0.7077003953988581,0.6363116502761841
facebook/dinov2-small,12,0.7592672730354195,0.6916515231132507
facebook/dinov2-small,mean,0.705735413726947,0.6810593605041504
facebook/dinov3-vitb16-pretrain-lvd1689m,0,,
facebook/dinov3-vitb16-pretrain-lvd1689m,1,0.5528926743839095,0.43243470788002014
facebook/dinov3-vitb16-pretrain-lvd1689m,2,0.6646994330297975,0.6011897921562195
facebook/dinov3-vitb16-pretrain-lvd1689m,3,0.6916956613554855,0.6839725375175476
facebook/dinov3-vitb16-pretrain-lvd1689m,4,0.6883732972898569,0.7126005291938782
facebook/dinov3-vitb16-pretrain-lvd1689m,5,0.5157774167241599,0.5857796669006348
facebook/dinov3-vitb16-pretrain-lvd1689m,6,0.5184540077987865,0.5984454154968262
facebook/dinov3-vitb16-pretrain-lvd1689m,7,0.5660864742050814,0.65427565574646
facebook/dinov3-vitb16-pretrain-lvd1689m,8,0.5729298204859081,0.6588472723960876
facebook/dinov3-vitb16-pretrain-lvd1689m,9,0.5892333149990298,0.665336012840271
facebook/dinov3-vitb16-pretrain-lvd1689m,10,0.614426901163093,0.6667214632034302
facebook/dinov3-vitb16-pretrain-lvd1689m,11,0.6753545832363156,0.6653695702552795
facebook/dinov3-vitb16-pretrain-lvd1689m,12,0.7304800051190069,0.6793949604034424
facebook/dinov3-vitb16-pretrain-lvd1689m,mean,0.6019604213694413,0.6791883111000061
facebook/dinov3-vitl16-pretrain-lvd1689m,0,,
facebook/dinov3-vitl16-pretrain-lvd1689m,1,0.5851065577834005,0.26128801703453064
facebook/dinov3-vitl16-pretrain-lvd1689m,2,0.5983293444312584,0.4884612262248993
