model,metric,SRCC,PLCC
dinov2_base,cosine,0.4814269365026897,0.5166181325912476
dinov2_base,l2,0.4814269091779735,0.5239067077636719
dinov2_large,cosine,0.43440126014630703,0.4636370539665222
dinov2_large,l2,0.434401251528519,0.4753149449825287
dinov2_small,cosine,0.503522520715358,0.5406302809715271
dinov2_small,l2,0.50352246428545,0.5488508343696594
dinov3_base,cosine,0.47308598961404813,0.5142934322357178
dinov3_base,l2,0.4730860359948358,0.5198805332183838
dinov3_large,cosine,0.4183134916869298,0.4584290683269501
dinov3_large,l2,0.4183134563912595,0.46787208318710327
dinov3_small,cosine,0.5013840216384023,0.548398494720459
dinov3_small,l2,0.5013840286108107,0.5507550239562988
siglip2_base,cosine,0.5389871628404063,0.5369967222213745
siglip2_base,l2,0.5389873746615671,0.5643361210823059
siglip2_large,cosine,0.5088614498321751,0.5308845639228821
siglip2_large,l2,0.5088614269505722,0.5467252731323242
