model,layer,srcc,plcc
facebook/dinov2-base,0,,
facebook/dinov2-base,1,0.6495762088304726,0.5477551817893982
facebook/dinov2-base,2,0.7013084863001697,0.6756059527397156
facebook/dinov2-base,3,0.6975533337428614,0.6101325154304504
facebook/dinov2-base,4,0.6845493747091134,0.664067804813385
facebook/dinov2-base,5,0.5999895234981143,0.6503989100456238
facebook/dinov2-base,6,0.590865337080947,0.6291585564613342
facebook/dinov2-base,7,0.6076747956353354,0.667143702507019
facebook/dinov2-base,8,0.6159968220896911,0.6581560969352722
facebook/dinov2-base,9,0.6480692233936093,0.6921237707138062
facebook/dinov2-base,10,0.6721267677817505,0.6369808316230774
facebook/dinov2-base,11,0.691245079012802,0.6117122769355774
facebook/dinov2-base,12,0.7089428087126776,0.6555868983268738
facebook/dinov2-large,0,-0.007519503473545455,-0.0011625578626990318
facebook/dinov2-large,1,0.5872249781371186,0.47420066595077515
facebook/dinov2-large,2,0.619340891130084,0.5350688099861145
facebook/dinov2-large,3,0.6572204088468473,0.5418441891670227
facebook/dinov2-large,4,0.684146433379838,0.5793965458869934
facebook/dinov2-large,5,0.690519755447741,0.6665855646133423
facebook/dinov2-large,6,0.6733994700404438,0.6681652665138245
facebook/dinov2-large,7,0.660463684708177,0.6487273573875427
facebook/dinov2-large,8,0.6613995939628788,0.6435883641242981
facebook/dinov2-large,9,0.6517228409834507,0.6486561298370361
facebook/dinov2-large,10,0.62655432822141,0.6629163026809692
facebook/dinov2-large,11,0.5785811089540142,0.6566697955131531
facebook/dinov2-large,12,0.5712279358080898,0.6500694751739502
facebook/dinov2-large,13,0.5407774394858834,0.6037230491638184
facebook/dinov2-large,14,0.5465319778196167,0.6160246133804321
facebook/dinov2-large,15,0.5462896844291785,0.6164169907569885
facebook/dinov2-large,16,0.5674644324844671,0.6286640167236328
facebook/dinov2-large,17,0.5936839335029718,0.6566064953804016
facebook/dinov2-large,18,0.6193136040646527,0.667289674282074
facebook/dinov2-large,19,0.6488198172007358,0.6770007610321045
facebook/dinov2-large,20,0.655741105476546,0.6436532139778137
facebook/dinov2-large,21,0.6655401480085826,0.5942742228507996
facebook/dinov2-large,22,0.6839805519934098,0.6197728514671326
facebook/dinov2-large,23,0.6823460457550569,0.5977363586425781
facebook/dinov2-large,24,0.6784350669258644,0.6195526719093323
facebook/dinov2-small,0,,
facebook/dinov2-small,1,0.6601230166336879,0.5665955543518066
facebook/dinov2-small,2,0.6760914238334979,0.5690139532089233
facebook/dinov2-small,3,0.6814260535518073,0.6090139150619507
facebook/dinov2-small,4,0.7079838906558926,0.6441055536270142
facebook/dinov2-small,5,0.614014016454844,0.6490402221679688
facebook/dinov2-small,6,0.6201549102698458,0.6149309873580933
facebook/dinov2-small,7,0.6069216735275056,0.6459029912948608
facebook/dinov2-small,8,0.6464520257879159,0.659578263759613
facebook/dinov2-small,9,0.643088995137547,0.6359884738922119
facebook/dinov2-small,10,0.6609962929192174,0.6231046319007874
facebook/dinov2-small,11,0.707698783253206,0.6363116502761841
facebook/dinov2-small,12,0.7592669708395603,0.6916515231132507
facebook/dinov3-vitb16-pretrain-lvd1689m,0,,
facebook/dinov3-vitb16-pretrain-lvd1689m,1,0.552961579285218,0.4324350655078888
facebook/dinov3-vitb16-pretrain-lvd1689m,2,0.6647012216589512,0.6011898517608643
facebook/dinov3-vitb16-pretrain-lvd1689m,3,0.6916977365369058,0.6839725971221924
facebook/dinov3-vitb16-pretrain-lvd1689m,4,0.6883725535255989,0.712600588798523
facebook/dinov3-vitb16-pretrain-lvd1689m,5,0.5157785877256527,0.5857796669006348
facebook/dinov3-vitb16-pretrain-lvd1689m,6,0.5184544280791503,0.5984454154968262
facebook/dinov3-vitb16-pretrain-lvd1689m,7,0.5660872968245844,0.65427565574646
facebook/dinov3-vitb16-pretrain-lvd1689m,8,0.57292958666038,0.6588472723960876
facebook/dinov3-vitb16-pretrain-lvd1689m,9,0.5892335067572226,0.6653361916542053
facebook/dinov3-vitb16-pretrain-lvd1689m,10,0.6144290056784922,0.6667215824127197
facebook/dinov3-vitb16-pretrain-lvd1689m,11,0.6753554547900875,0.6653696298599243
facebook/dinov3-vitb16-pretrain-lvd1689m,12,0.7304796712596393,0.6793949007987976
facebook/dinov3-vitl16-pretrain-lvd1689m,0,,
facebook/dinov3-vitl16-pretrain-lvd1689m,1,0.5851143106013945,0.26128774881362915
facebook/dinov3-vitl16-pretrain-lvd1689m,2,0.5983162191071245,0.4884611964225769
facebook/dinov3-vitl16-pretrain-lvd1689m,3,0.6522642079429769,0.598626434803009
