dataset,model,best_layer,srcc,plcc
LIVE,facebook/dinov2-base,4,0.9634310736110752,0.72745680809021
LIVE,facebook/dinov2-large,9,0.9539901217424248,0.7601913809776306
LIVE,facebook/dinov2-small,4,0.9589788521212854,0.720051646232605
LIVE,facebook/dinov3-vitb16-pretrain-lvd1689m,4,0.9603161280276812,0.7591567635536194
LIVE,facebook/dinov3-vitl16-pretrain-lvd1689m,6,0.9562617422929246,0.664578378200531
LIVE,facebook/dinov3-vits16-pretrain-lvd1689m,4,0.9636354384697148,0.7220801115036011
LIVE,google/siglip2-base-patch16-224,8,0.9621826752909624,0.6262649893760681
LIVE,google/siglip2-large-patch16-256,18,0.9604610941116348,0.671517014503479
PIPAL,dinov2_small,2,0.5787194184011534,0.5075310468673706
PIPAL,facebook/dinov2-base,1,0.5775177746128487,0.4859488010406494
PIPAL,facebook/dinov2-large,1,0.5542162685255575,0.4350558221340179
PIPAL,facebook/dinov3-vitb16-pretrain-lvd1689m,1,0.5387157328427651,0.4055732488632202
PIPAL,facebook/dinov3-vitl16-pretrain-lvd1689m,1,0.5654990276496455,0.4418939054012298
PIPAL,facebook/dinov3-vits16-pretrain-lvd1689m,2,0.5702896657219307,0.518493115901947
PIPAL,google/siglip2-large-patch16-256,15,0.5635196753461439,0.576095461845398
PIPAL,siglip2_base,7,0.5793465893502133,0.5947537422180176
TID2013,facebook/dinov2-base,12,0.7089428087126776,0.6555868983268738
TID2013,facebook/dinov2-large,5,0.690519755447741,0.6665855646133423
TID2013,facebook/dinov2-small,12,0.7592669708395603,0.6916515231132507
TID2013,facebook/dinov3-vitb16-pretrain-lvd1689m,12,0.7304796712596393,0.6793949007987976
TID2013,facebook/dinov3-vitl16-pretrain-lvd1689m,24,0.7077780592277506,0.6388047933578491
TID2013,facebook/dinov3-vits16-pretrain-lvd1689m,12,0.7723635526782332,0.70191490650177
TID2013,google/siglip2-base-patch16-224,11,0.8026518584723179,0.6665694713592529
TID2013,google/siglip2-large-patch16-256,20,0.8042562987871351,0.6761764287948608
